Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
t5,plot+table,on,off,on,0.027247,0.17638,0.40208,0.118261,0.204506,37.340323
bart,plot+table,on,off,on,0.062292,0.202097,0.468214,0.194135,0.236125,49.398958
bert,plot+table,on,off,on,0.044809,0.354028,0.580324,0.183292,0.209215,27.647105
longformer_ext,plot+table,on,off,on,0.100741,0.239102,0.494382,0.152733,0.23756,43.074777
t5,plot+table,on,off,on,0.010328,0.144148,0.368362,0.11778,0.174011,46.147667
bart,plot,on,on,off,0.022056,0.249012,0.447574,0.119309,0.197183,28.542145
bert,plot,on,on,off,0.017703,0.248812,0.443787,0.083086,0.171598,31.2466
longformer_ext,plot,on,on,off,0.024394,0.224806,0.383673,0.084584,0.144218,34.789229
t5,plot,on,on,off,0.039494,0.19468,0.406475,0.108303,0.194245,19.950989
bart,plot,on,on,off,0.024804,0.18622,0.451923,0.122186,0.208333,21.676598
bert,plot,on,on,off,0.022862,0.283324,0.409579,0.138958,0.18332,23.430697
longformer_ext,plot,on,on,off,0.023814,0.233649,0.490305,0.141667,0.218837,28.244333
t5,plot,on,on,off,0.020155,0.182735,0.422297,0.108475,0.219595,39.24184
bart,plot,on,on,off,0.038576,0.184893,0.430464,0.188053,0.220751,39.787766
bert,plot,on,on,off,0.051706,0.342929,0.59853,0.192642,0.223113,25.880304
longformer_ext,plot,on,on,off,0.025016,0.110449,0.329694,0.111597,0.187773,62.556226
t5,plot,on,on,off,0.015875,0.162206,0.393771,0.124861,0.186874,38.793308
bart,table,on,on,off,0.02236,0.243804,0.432815,0.09078,0.178218,18.318197
bert,table,on,on,off,0.007985,0.230488,0.414343,0.058589,0.159363,25.174335
longformer_ext,table,on,on,off,0.014144,0.213402,0.413889,0.069638,0.152778,42.334065
t5,table,on,on,off,0.026364,0.211835,0.421053,0.082508,0.177632,23.212556
bart,table,on,on,off,0.01938,0.16152,0.3968,0.099518,0.192,17.147925
bert,table,on,on,off,0.025826,0.275583,0.382281,0.113394,0.170632,24.632751
longformer_ext,table,on,on,off,0.0362,0.188374,0.450581,0.131195,0.209302,28.319184
t5,table,on,on,off,0.022372,0.17565,0.402027,0.111864,0.199324,38.980196
bart,table,on,on,off,0.034347,0.141432,0.376068,0.119914,0.188034,27.726116
bert,table,on,on,off,0.031807,0.331701,0.529174,0.181608,0.20104,29.012928
longformer_ext,table,on,on,off,0.078214,0.237634,0.509804,0.157131,0.209719,44.55263
t5,table,on,on,off,0.030031,0.198333,0.473738,0.150671,0.212152,43.398543
bart,plot+table,on,on,off,0.024411,0.207049,0.358519,0.074294,0.16,10.13132
bert,plot+table,on,on,off,0.018862,0.271058,0.454662,0.09219,0.176245,35.973005
longformer_ext,plot+table,on,on,off,0.01101,0.11018,0.248834,0.043682,0.108865,40.584398
t5,plot+table,on,on,off,0.029235,0.232804,0.438127,0.097315,0.19398,31.182267
bart,plot+table,on,on,off,0.035901,0.222898,0.491379,0.129683,0.218391,26.699838
bert,plot+table,on,on,off,0.014143,0.268866,0.389652,0.108502,0.164915,28.731549
longformer_ext,plot+table,on,on,off,0.043724,0.230656,0.478378,0.151762,0.216216,24.823197
t5,plot+table,on,on,off,0.025713,0.174795,0.424749,0.097315,0.200669,32.275402
bart,plot+table,on,on,off,0.046851,0.195235,0.456906,0.185224,0.232606,41.581941
bert,plot+table,on,on,off,0.027439,0.30837,0.51171,0.162954,0.186183,24.238149
longformer_ext,plot+table,on,on,off,0.053995,0.178845,0.369643,0.105546,0.1875,29.83489
t5,plot+table,on,on,off,0.015904,0.143752,0.368018,0.109769,0.181818,45.373696
bart,plot,off,on,on,0.023365,0.211497,0.420195,0.091503,0.179153,21.951011
bert,plot,off,on,on,0.017351,0.244229,0.415042,0.086592,0.175487,37.496316
longformer_ext,plot,off,on,on,0.021133,0.267215,0.380855,0.077551,0.167006,28.388766
t5,plot,off,on,on,0.034348,0.214884,0.414763,0.088183,0.175747,28.252328
bart,plot,off,on,on,0.042651,0.206102,0.505295,0.115326,0.205749,28.743727
bert,plot,off,on,on,0.015766,0.284995,0.446222,0.112199,0.170667,27.336608
longformer_ext,plot,off,on,on,0.041709,0.264743,0.486553,0.125,0.205379,19.775065
t5,plot,off,on,on,0.011124,0.160585,0.401384,0.086806,0.17301,34.175922
bart,plot,off,on,on,0.04695,0.173329,0.445405,0.197183,0.227027,33.981855
bert,plot,off,on,on,0.078671,0.330156,0.613108,0.214538,0.243834,27.681788
longformer_ext,plot,off,on,on,0.074541,0.228416,0.515837,0.161378,0.215385,27.038221
t5,plot,off,on,on,0.010048,0.118121,0.316667,0.105012,0.161905,37.292752
bart,table,off,on,on,0.020159,0.248259,0.397906,0.076115,0.157068,35.889532
bert,table,off,on,on,0.014137,0.26068,0.450742,0.08931,0.175439,33.863731
longformer_ext,table,off,on,on,0.02801,0.278695,0.384858,0.077977,0.166141,22.558015
t5,table,off,on,on,0.040177,0.233119,0.421725,0.086538,0.188498,22.745721
bart,table,off,on,on,0.040561,0.218419,0.470948,0.119632,0.201835,26.775693
bert,table,off,on,on,0.019104,0.254322,0.419295,0.096654,0.166976,31.419331
longformer_ext,table,off,on,on,0.009302,0.177546,0.355117,0.051916,0.155364,-4.87087
t5,table,off,on,on,0.013287,0.175786,0.430669,0.111293,0.208809,42.602333
bart,table,off,on,on,0.047056,0.189221,0.469729,0.175732,0.219207,45.8025
bert,table,off,on,on,0.053968,0.311052,0.527228,0.16109,0.205446,25.459563
longformer_ext,table,off,on,on,0.088457,0.244056,0.544809,0.151111,0.223602,29.986575
t5,table,off,on,on,0.009843,0.132173,0.314943,0.089862,0.163218,39.592506
bart,plot+table,off,on,on,0.041319,0.195783,0.361564,0.088235,0.169381,26.072314
bert,plot+table,off,on,on,0.022597,0.256817,0.45,0.10585,0.172222,29.021249
longformer_ext,plot+table,off,on,on,0.027645,0.278666,0.366226,0.079511,0.162767,20.473221
t5,plot+table,off,on,on,0.036122,0.201214,0.406667,0.083612,0.186667,30.677274
bart,plot+table,off,on,on,0.035472,0.190533,0.425743,0.096026,0.214521,26.60403
bert,plot+table,off,on,on,0.01874,0.273762,0.409408,0.102967,0.163763,29.453947
longformer_ext,plot+table,off,on,on,0.020123,0.180484,0.32288,0.069849,0.125436,32.206891
t5,plot+table,off,on,on,0.015111,0.190146,0.441516,0.115702,0.200988,24.424286
bart,plot+table,off,on,on,0.026298,0.135001,0.357871,0.15437,0.203851,27.887424
bert,plot+table,off,on,on,0.059638,0.327436,0.546976,0.190722,0.234234,24.710882
longformer_ext,plot+table,off,on,on,0.018361,0.146578,0.379828,0.113978,0.182403,31.718378
t5,plot+table,off,on,on,0.009176,0.117659,0.293772,0.101296,0.152761,46.235789
bart,plot,on,on,on,0.03388,0.255185,0.44795,0.120253,0.192429,21.56225
