Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
t5,plot+table,on,off,on,0.006684,0.139484,0.35348,0.049541,0.150183,19.738686
t5,plot+table,on,off,on,0.007865,0.16917,0.405316,0.051054,0.139535,19.738686
longformer_ext,plot+table,on,off,on,0.008174,0.216197,0.353741,0.056818,0.145125,22.171176
longformer_ext,plot+table,on,off,on,0.011982,0.181569,0.411024,0.059937,0.171654,22.171176
longformer_ext,plot+table,on,off,on,0.030055,0.195554,0.392229,0.057461,0.153562,22.171176
bart,plot,on,on,off,0.018838,0.245803,0.424821,0.074163,0.157518,11.452094
bart,plot,on,on,off,0.01651,0.179301,0.412724,0.073529,0.168026,11.452094
bart,plot,on,on,off,0.035379,0.24421,0.472517,0.077295,0.167792,11.452094
bert,plot,on,on,off,0.008409,0.254401,0.254958,0.043478,0.096317,-3.901652
bert,plot,on,on,off,0.016277,0.281164,0.407821,0.071885,0.138069,-3.901652
bert,plot,on,on,off,0.008092,0.270594,0.332326,0.07257,0.121709,-3.901652
t5,plot,on,on,off,0.009494,0.216672,0.408,0.042781,0.125333,8.739218
t5,plot,on,on,off,0.012863,0.13869,0.363796,0.045775,0.137083,8.739218
t5,plot,on,on,off,0.012848,0.186485,0.434141,0.042239,0.128556,8.739218
longformer_ext,plot,on,on,off,0.007556,0.248225,0.386651,0.041522,0.131185,11.596099
longformer_ext,plot,on,on,off,0.01345,0.187411,0.389817,0.062151,0.170247,11.596099
longformer_ext,plot,on,on,off,0.032269,0.220541,0.432584,0.078799,0.157303,11.596099
bart,table,on,on,off,0.010871,0.25657,0.3987,0.058632,0.140845,5.655735
bart,table,on,on,off,0.025147,0.187394,0.392067,0.061115,0.163234,5.655735
bart,table,on,on,off,0.047092,0.242211,0.454545,0.080357,0.165775,5.655735
bert,table,on,on,off,0.004782,0.231063,0.218575,0.036316,0.085529,-4.113913
bert,table,on,on,off,0.009487,0.264751,0.346282,0.053314,0.121347,-4.113913
bert,table,on,on,off,0.011547,0.266616,0.289578,0.061306,0.103421,-4.113913
t5,table,on,on,off,0.010501,0.198249,0.358396,0.027638,0.122807,5.867654
t5,table,on,on,off,0.006463,0.122989,0.300169,0.030405,0.11973,5.867654
t5,table,on,on,off,0.009958,0.177368,0.385155,0.036181,0.122367,5.867654
longformer_ext,table,on,on,off,0.013412,0.247394,0.37234,0.040512,0.134043,1.283077
longformer_ext,table,on,on,off,0.010599,0.169996,0.368976,0.037707,0.153614,1.283077
longformer_ext,table,on,on,off,0.040351,0.224503,0.396839,0.05277,0.143986,1.283077
bart,plot+table,on,on,off,0.015401,0.23557,0.420398,0.069825,0.154229,14.917849
bart,plot+table,on,on,off,0.02113,0.151728,0.379195,0.068908,0.167785,14.917849
bart,plot+table,on,on,off,0.046755,0.206784,0.44666,0.08991,0.165503,14.917849
bert,plot+table,on,on,off,0.005588,0.252215,0.254722,0.048473,0.095884,-1.941032
bert,plot+table,on,on,off,0.011787,0.286291,0.402772,0.080783,0.147574,-1.941032
bert,plot+table,on,on,off,0.008333,0.265134,0.325088,0.062776,0.122792,-1.941032
t5,plot+table,on,on,off,0.007516,0.200779,0.383202,0.026316,0.139108,22.352192
t5,plot+table,on,on,off,0.008962,0.149344,0.332174,0.036585,0.135652,22.352192
t5,plot+table,on,on,off,0.013279,0.189786,0.426639,0.045881,0.12487,22.352192
longformer_ext,plot+table,on,on,off,0.007327,0.231385,0.345865,0.053821,0.139635,22.9355
longformer_ext,plot+table,on,on,off,0.012025,0.185204,0.418499,0.066819,0.177407,22.9355
longformer_ext,plot+table,on,on,off,0.032665,0.212531,0.40354,0.065603,0.148673,22.9355
bart,plot,off,on,on,0.023567,0.266453,0.410714,0.086957,0.178571,14.174755
bart,plot,off,on,on,0.015449,0.16393,0.401024,0.08547,0.165529,14.174755
bart,plot,off,on,on,0.019106,0.206073,0.433367,0.077472,0.164802,14.174755
bert,plot,off,on,on,0.006882,0.254776,0.269536,0.043084,0.100793,-5.140817
bert,plot,off,on,on,0.024894,0.282605,0.42247,0.078067,0.141133,-5.140817
bert,plot,off,on,on,0.010244,0.27566,0.364377,0.071319,0.118066,-5.140817
t5,plot,off,on,on,0.019351,0.207861,0.367288,0.07482,0.146341,1.283607
t5,plot,off,on,on,0.015328,0.128293,0.320737,0.059095,0.143779,1.283607
t5,plot,off,on,on,0.039994,0.206156,0.426339,0.096197,0.158482,1.283607
longformer_ext,plot,off,on,on,0.013934,0.238344,0.353939,0.065614,0.130909,6.034413
longformer_ext,plot,off,on,on,0.015208,0.139373,0.354493,0.082576,0.136851,6.034413
longformer_ext,plot,off,on,on,0.014384,0.182922,0.404297,0.058708,0.126953,6.034413
bart,table,off,on,on,0.013192,0.233661,0.37609,0.069913,0.154421,14.847167
bart,table,off,on,on,0.010396,0.150921,0.371117,0.053827,0.146096,14.847167
bart,table,off,on,on,0.017397,0.211687,0.453094,0.088,0.171657,14.847167
bert,table,off,on,on,0.005895,0.250564,0.223816,0.036381,0.089909,-11.367215
bert,table,off,on,on,0.012566,0.270468,0.373538,0.057327,0.137959,-11.367215
bert,table,off,on,on,0.004796,0.260682,0.317031,0.05507,0.103057,-11.367215
