Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bert,plot+table,off,off,on,0.005909,0.262888,0.2638,0.045375,0.10459,5.217239
t5,plot+table,off,off,on,0.02054,0.231141,0.41349,0.085294,0.175953,22.251547
longformer_ext,plot+table,off,off,on,0.009461,0.157218,0.284698,0.030916,0.102017,16.232403
bart,plot,on,off,on,0.028039,0.265957,0.462788,0.084125,0.181326,24.176174
bert,plot,on,off,on,0.006018,0.260918,0.294182,0.061538,0.11416,-1.577385
t5,plot,on,off,on,0.007915,0.174388,0.377358,0.037855,0.125786,24.877349
longformer_ext,plot,on,off,on,0.009472,0.257354,0.357564,0.059055,0.133595,-22.388827
bart,table,on,off,on,0.016115,0.237079,0.4275,0.062657,0.1675,16.00818
bert,table,on,off,on,0.004963,0.242499,0.259241,0.043588,0.097215,-4.324413
t5,table,on,off,on,0.013452,0.197145,0.388298,0.048,0.140957,14.963339
longformer_ext,table,on,off,on,0.009393,0.239984,0.382647,0.031215,0.140156,-3.203662
bart,plot+table,on,off,on,0.024209,0.255327,0.454545,0.073418,0.156566,13.066212
bert,plot+table,on,off,on,0.007581,0.248228,0.275287,0.053236,0.107404,4.021242
t5,plot+table,on,off,on,0.019209,0.223611,0.428765,0.062585,0.157395,29.2567
longformer_ext,plot+table,on,off,on,0.020797,0.239203,0.362562,0.061204,0.13399,11.253445
bart,plot,on,on,off,0.007923,0.256252,0.392694,0.050343,0.136986,14.900652
bert,plot,on,on,off,0.005868,0.244304,0.23714,0.047993,0.088056,-4.760391
t5,plot,on,on,off,0.014614,0.244546,0.417983,0.034105,0.136087,15.101578
longformer_ext,plot,on,on,off,0.006901,0.217267,0.356606,0.043057,0.141783,10.367797
bart,table,on,on,off,0.009941,0.239555,0.380855,0.063265,0.144603,16.597456
bert,table,on,on,off,0.00267,0.232707,0.217728,0.036176,0.086919,-4.665686
t5,table,on,on,off,0.007938,0.202368,0.394052,0.042236,0.136307,11.091129
longformer_ext,table,on,on,off,0.00611,0.178231,0.292373,0.03397,0.110169,8.861276
bart,plot+table,on,on,off,0.015858,0.237568,0.390244,0.060536,0.141696,13.075922
bert,plot+table,on,on,off,0.009496,0.242907,0.229669,0.04908,0.097262,-2.337322
t5,plot+table,on,on,off,0.008409,0.204005,0.399485,0.033592,0.14433,13.296596
longformer_ext,plot+table,on,on,off,0.006451,0.244799,0.338614,0.041667,0.116832,10.995495
bart,plot,off,on,on,0.018253,0.260233,0.424324,0.078591,0.164865,4.663167
bert,plot,off,on,on,0.006011,0.276116,0.275718,0.04391,0.090862,-4.364043
t5,plot,off,on,on,0.02201,0.228195,0.414878,0.094692,0.168813,12.126181
longformer_ext,plot,off,on,on,0.006905,0.246751,0.35964,0.05005,0.10989,3.7686
bart,table,off,on,on,0.011646,0.255506,0.3903,0.055556,0.163972,3.897028
bert,table,off,on,on,0.005749,0.252064,0.221726,0.039374,0.087617,-10.618502
t5,table,off,on,on,0.016546,0.232259,0.366452,0.07762,0.152258,13.573225
longformer_ext,table,off,on,on,0.006637,0.173506,0.300813,0.021739,0.124661,-11.010688
bart,plot+table,off,on,on,0.02562,0.257695,0.399561,0.077008,0.17124,12.094181
bert,plot+table,off,on,on,0.005258,0.250138,0.237908,0.036633,0.087146,-7.895107
t5,plot+table,off,on,on,0.030674,0.298195,0.433486,0.087356,0.174312,10.528156
longformer_ext,plot+table,off,on,on,0.005938,0.179518,0.266667,0.02265,0.112994,12.939322
bart,plot,on,on,on,0.012115,0.258124,0.410798,0.056471,0.143192,22.440834
bert,plot,on,on,on,0.010197,0.249625,0.239748,0.04691,0.097341,-6.537036
t5,plot,on,on,on,0.013951,0.242424,0.433071,0.057895,0.154856,13.815957
longformer_ext,plot,on,on,on,0.012264,0.240918,0.324229,0.049426,0.126872,-15.683561
bart,table,on,on,on,0.013226,0.249758,0.414334,0.058361,0.138858,9.527305
bert,table,on,on,on,0.005768,0.236898,0.227565,0.036957,0.082439,-9.980824
t5,table,on,on,on,0.017964,0.216201,0.383085,0.0399,0.126866,17.686588
longformer_ext,table,on,on,on,0.006233,0.253938,0.344576,0.043836,0.13309,15.851803
bart,plot+table,on,on,on,0.01385,0.242283,0.394495,0.05977,0.149083,9.91774
bert,plot+table,on,on,on,0.004601,0.242447,0.230021,0.044012,0.085412,-6.727498
t5,plot+table,on,on,on,0.008364,0.236714,0.394196,0.043636,0.137848,13.515666
longformer_ext,plot+table,on,on,on,0.006864,0.246749,0.304381,0.04465,0.116833,3.453162
bart,plot,off,off,off,0.027656,0.188912,0.464396,0.145963,0.20743,21.952704
bert,plot,off,off,off,0.013363,0.289399,0.397143,0.090129,0.142857,13.718833
t5,plot,off,off,off,0.023006,0.166944,0.391304,0.080997,0.177019,19.34163
longformer_ext,plot,off,off,off,0.009549,0.155208,0.380952,0.066879,0.155556,10.99264
bart,table,off,off,off,0.014672,0.171433,0.425982,0.09697,0.169184,4.450431
bert,table,off,off,off,0.009866,0.258251,0.372549,0.075529,0.140271,4.303005
t5,table,off,off,off,0.024787,0.172527,0.392857,0.083582,0.172619,15.08457
longformer_ext,table,off,off,off,0.013827,0.219995,0.42807,0.075029,0.154386,6.108243
bart,plot+table,off,off,off,0.0191,0.208394,0.488529,0.102842,0.194332,11.266604
bert,plot+table,off,off,off,0.007261,0.263542,0.356568,0.065772,0.130027,0.669371
t5,plot+table,off,off,off,0.029926,0.203193,0.421965,0.107246,0.17341,19.134613
longformer_ext,plot+table,off,off,off,0.011778,0.24128,0.429735,0.065306,0.154786,7.772865
bart,plot,on,off,off,0.018293,0.209714,0.455696,0.098731,0.177215,18.906579
bert,plot,on,off,off,0.010901,0.278026,0.392954,0.084125,0.136856,8.723529
t5,plot,on,off,off,0.009276,0.171165,0.385816,0.068279,0.150355,24.087808
longformer_ext,plot,on,off,off,0.021097,0.219848,0.392567,0.088475,0.167247,3.994149
bart,table,on,off,off,0.0158,0.164799,0.383562,0.08855,0.167428,13.990192
bert,table,on,off,off,0.010398,0.273848,0.376252,0.071633,0.137339,5.966163
