Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
longformer_ext,plot,off,on,on,0.027241,0.2487,0.487923,0.113801,0.193237,27.53381
t5,plot,off,on,on,0.014213,0.189116,0.396667,0.103679,0.186667,34.326636
bart,plot,off,on,on,0.016461,0.148822,0.37897,0.098793,0.168675,34.842039
bert,plot,off,on,on,0.060799,0.311441,0.576503,0.165527,0.214481,18.324257
longformer_ext,plot,off,on,on,0.019719,0.199876,0.438581,0.105743,0.169245,19.557453
t5,plot,off,on,on,0.008867,0.10802,0.301887,0.089835,0.153302,33.662595
bart,table,off,on,on,0.017263,0.21107,0.373457,0.083591,0.17284,17.108824
bert,table,off,on,on,0.006364,0.268891,0.308989,0.053446,0.122191,16.72658
longformer_ext,table,off,on,on,0.012284,0.244977,0.359447,0.064665,0.156682,-0.040079
t5,table,off,on,on,0.01189,0.211067,0.378717,0.072214,0.169014,24.99669
bart,table,off,on,on,0.02043,0.196463,0.405229,0.101639,0.199346,35.948968
bert,table,off,on,on,0.028708,0.29029,0.40974,0.109336,0.172964,24.990366
longformer_ext,table,off,on,on,0.02541,0.251808,0.46798,0.093827,0.206897,23.554974
t5,table,off,on,on,0.017726,0.18019,0.408784,0.105085,0.179054,32.851136
bart,table,off,on,on,0.016965,0.166503,0.418507,0.111697,0.193481,43.693092
bert,table,off,on,on,0.040217,0.298025,0.49878,0.130647,0.185366,12.020177
longformer_ext,table,off,on,on,0.057192,0.189648,0.394247,0.116949,0.153976,40.131142
t5,table,off,on,on,0.015795,0.139835,0.343049,0.098876,0.161435,39.596549
bart,plot+table,off,on,on,0.015529,0.21668,0.437177,0.082902,0.182444,29.156872
bert,plot+table,off,on,on,0.01168,0.28223,0.363636,0.066225,0.128926,18.855201
longformer_ext,plot+table,off,on,on,0.016754,0.112588,0.226528,0.029895,0.09538,-10.332589
t5,plot+table,off,on,on,0.021026,0.193393,0.382403,0.078098,0.169205,24.244825
bart,plot+table,off,on,on,0.021042,0.181582,0.409524,0.11465,0.177778,17.137846
bert,plot+table,off,on,on,0.024805,0.278051,0.444649,0.127542,0.173432,30.79738
longformer_ext,plot+table,off,on,on,0.041267,0.258416,0.454658,0.11457,0.186335,34.100233
t5,plot+table,off,on,on,0.009136,0.136234,0.33564,0.069444,0.16263,26.064643
bart,plot+table,off,on,on,0.020276,0.144042,0.362031,0.117257,0.169978,33.133926
bert,plot+table,off,on,on,0.058353,0.331378,0.553763,0.152086,0.202957,16.109428
longformer_ext,plot+table,off,on,on,0.044686,0.17641,0.453928,0.153547,0.192047,34.328644
t5,plot+table,off,on,on,0.011893,0.129591,0.336384,0.112385,0.16476,45.392115
bart,plot,on,on,on,0.034223,0.220409,0.438625,0.08867,0.180033,31.970418
bert,plot,on,on,on,0.019907,0.291401,0.357616,0.086235,0.135762,13.779002
longformer_ext,plot,on,on,on,0.017969,0.247824,0.434548,0.073072,0.164642,24.295845
t5,plot,on,on,on,0.011356,0.153109,0.36965,0.046875,0.163424,32.300934
bart,plot,on,on,on,0.027417,0.193299,0.442105,0.140845,0.217544,56.988062
bert,plot,on,on,on,0.023286,0.274183,0.457317,0.118126,0.170732,28.123042
longformer_ext,plot,on,on,on,0.035053,0.238205,0.405213,0.097387,0.187204,32.349495
t5,plot,on,on,on,0.004748,0.113411,0.291115,0.087287,0.143667,49.41609
