Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot+table,off,off,on,0.010178,0.220397,0.161765,0.053763,0.081448,35.740623
bart,plot+table,off,off,on,0.030167,0.22878,0.457237,0.115512,0.200658,20.907563
bert,plot+table,off,off,on,0.036451,0.223733,0.452713,0.127527,0.20155,29.083263
t5,plot+table,off,off,on,0.010897,0.202383,0.397924,0.083333,0.16609,27.823988
longformer_ext,plot+table,off,off,on,0.016657,0.24124,0.394366,0.079589,0.15621,21.6083
none,plot,on,off,on,0.008227,0.221051,0.166903,0.05169,0.08629,37.727152
bart,plot,on,off,on,0.033161,0.221271,0.400709,0.099644,0.184397,28.439348
bert,plot,on,off,on,0.024563,0.261754,0.474886,0.112977,0.191781,35.409208
t5,plot,on,off,on,0.017151,0.216733,0.378571,0.09319,0.2,31.609895
longformer_ext,plot,on,off,on,0.023225,0.205412,0.367123,0.07967,0.147945,34.854026
none,table,on,off,on,0.004772,0.200769,0.144549,0.044498,0.073967,36.468038
bart,table,on,off,on,0.02785,0.273183,0.450746,0.101796,0.185075,32.375966
bert,table,on,off,on,0.021416,0.241664,0.432511,0.081514,0.197388,33.750192
t5,table,on,off,on,0.014587,0.217662,0.39801,0.08985,0.195688,38.873732
longformer_ext,table,on,off,on,0.00861,0.20643,0.359091,0.059226,0.127273,33.677023
none,plot+table,on,off,on,0.008296,0.222118,0.153887,0.048148,0.083025,36.169271
bart,plot+table,on,off,on,0.033323,0.267156,0.465409,0.107256,0.213836,32.268139
bert,plot+table,on,off,on,0.024343,0.247389,0.464978,0.104634,0.193741,36.530359
t5,plot+table,on,off,on,0.024303,0.225607,0.40201,0.090756,0.174204,30.095735
longformer_ext,plot+table,on,off,on,0.018523,0.262618,0.391304,0.071895,0.136957,28.457362
none,plot,on,on,off,0.007684,0.214759,0.15847,0.044286,0.082514,36.662576
bart,plot,on,on,off,0.039426,0.253536,0.436597,0.099839,0.205457,32.889048
bert,plot,on,on,off,0.021927,0.259462,0.450867,0.107246,0.196532,37.508927
t5,plot,on,on,off,0.020243,0.231515,0.450658,0.105611,0.190789,26.314614
longformer_ext,plot,on,on,off,0.020002,0.245306,0.441001,0.076464,0.171633,33.228489
none,table,on,on,off,0.003669,0.180274,0.120917,0.038969,0.06411,35.428396
bart,table,on,on,off,0.025895,0.250422,0.447257,0.090268,0.19128,23.556826
bert,table,on,on,off,0.015677,0.251919,0.424779,0.08365,0.176991,33.043762
t5,table,on,on,off,0.012553,0.281486,0.450276,0.072022,0.179558,35.8694
longformer_ext,table,on,on,off,0.016334,0.265284,0.420814,0.058957,0.162896,40.065329
none,plot+table,on,on,off,0.008557,0.205455,0.142272,0.045356,0.074753,35.433467
bart,plot+table,on,on,off,0.056846,0.250701,0.427035,0.107858,0.193548,19.568939
bert,plot+table,on,on,off,0.020803,0.258199,0.481119,0.098177,0.181818,33.652292
t5,plot+table,on,on,off,0.021866,0.236902,0.418321,0.085758,0.189313,24.158688
longformer_ext,plot+table,on,on,off,0.016207,0.25257,0.375136,0.054645,0.157034,24.315438
none,plot,off,on,on,0.00944,0.202009,0.147104,0.044615,0.075346,31.395507
bart,plot,off,on,on,0.031675,0.252301,0.42638,0.101538,0.187117,17.455385
bert,plot,off,on,on,0.034336,0.246032,0.44186,0.09621,0.19186,29.893782
t5,plot,off,on,on,0.020119,0.225363,0.393701,0.085308,0.179528,28.635833
longformer_ext,plot,off,on,on,0.026068,0.247498,0.364835,0.079295,0.156044,11.445
none,table,off,on,on,0.005731,0.185713,0.124492,0.039803,0.063743,31.554359
bart,table,off,on,on,0.026875,0.229361,0.398792,0.087879,0.181269,16.457805
bert,table,off,on,on,0.025989,0.263968,0.43433,0.104302,0.182055,33.762424
t5,table,off,on,on,0.021967,0.204038,0.383387,0.080128,0.166134,24.923394
longformer_ext,table,off,on,on,0.032292,0.197564,0.396581,0.089194,0.194872,20.266524
none,plot+table,off,on,on,0.008569,0.19702,0.139535,0.045095,0.069528,32.082981
bart,plot+table,off,on,on,0.023847,0.262157,0.475309,0.117647,0.203704,26.894959
bert,plot+table,off,on,on,0.040027,0.290342,0.435374,0.117326,0.185034,25.301324
t5,plot+table,off,on,on,0.010001,0.174445,0.34662,0.069565,0.155979,26.87286
longformer_ext,plot+table,off,on,on,0.024531,0.231736,0.322906,0.078868,0.161453,28.981643
none,plot,on,on,on,0.008801,0.208963,0.157654,0.046837,0.082863,34.119526
bart,plot,on,on,on,0.052414,0.24112,0.4352,0.11557,0.208,23.183864
bert,plot,on,on,on,0.02102,0.278859,0.501458,0.114035,0.204082,39.647874
t5,plot,on,on,on,0.013894,0.211561,0.404145,0.079723,0.189983,21.89639
longformer_ext,plot,on,on,on,0.024548,0.212077,0.393229,0.057441,0.143229,35.99013
none,table,on,on,on,0.004197,0.190578,0.127111,0.040558,0.065878,31.455208
bart,table,on,on,on,0.019281,0.239766,0.391667,0.077994,0.188889,33.158161
bert,table,on,on,on,0.024162,0.258091,0.438957,0.099037,0.178326,32.109517
t5,table,on,on,on,0.014811,0.215759,0.369697,0.066869,0.166667,25.264745
longformer_ext,table,on,on,on,0.010369,0.19363,0.35817,0.057667,0.138562,34.366907
none,plot+table,on,on,on,0.007314,0.200397,0.137164,0.041725,0.071826,29.246056
bart,plot+table,on,on,on,0.045257,0.244199,0.431853,0.101382,0.180704,19.597059
bert,plot+table,on,on,on,0.024215,0.277238,0.475912,0.105417,0.181022,27.644436
t5,plot+table,on,on,on,0.019161,0.232394,0.428356,0.078669,0.180995,20.314272
longformer_ext,plot+table,on,on,on,0.025316,0.243292,0.410072,0.076923,0.143885,16.793442
none,plot,off,off,off,0.011344,0.234554,0.193372,0.06359,0.095661,44.837666
bart,plot,off,off,off,0.033226,0.223125,0.424544,0.106489,0.195688,24.159285
bert,plot,off,off,off,0.036336,0.233481,0.435897,0.109325,0.198718,33.502881
t5,plot,off,off,off,0.024838,0.204204,0.414313,0.098299,0.184557,35.97256
longformer_ext,plot,off,off,off,0.014994,0.249046,0.420499,0.073781,0.149803,40.614696
none,table,off,off,off,0.006069,0.203282,0.141119,0.042843,0.071533,37.671891
bart,table,off,off,off,0.017769,0.253186,0.45045,0.11747,0.201201,24.659779
bert,table,off,off,off,0.030486,0.23566,0.410468,0.077348,0.181818,26.883691
t5,table,off,off,off,0.014699,0.187512,0.369748,0.070826,0.178151,29.030488
longformer_ext,table,off,off,off,0.021694,0.277653,0.409234,0.088328,0.180483,30.337093
none,plot+table,off,off,off,0.010596,0.227215,0.170599,0.056295,0.086509,41.549192
bart,plot+table,off,off,off,0.034706,0.217137,0.412266,0.102564,0.204429,38.075968
bert,plot+table,off,off,off,0.030709,0.239831,0.408346,0.104634,0.175857,30.104613
t5,plot+table,off,off,off,0.014238,0.197746,0.402174,0.090909,0.184783,38.641183
longformer_ext,plot+table,off,off,off,0.012895,0.22389,0.396349,0.062745,0.148631,28.79
none,plot,on,off,off,0.010918,0.227352,0.183581,0.054334,0.09373,41.606054
bart,plot,on,off,off,0.039072,0.245803,0.433657,0.116883,0.197411,29.572726
bert,plot,on,off,off,0.040062,0.245265,0.46571,0.112,0.197767,36.521548
t5,plot,on,off,off,0.018868,0.237333,0.424242,0.103757,0.206774,29.416822
longformer_ext,plot,on,off,off,0.014713,0.165617,0.39292,0.071048,0.155752,46.875667
none,table,on,off,off,0.004095,0.186427,0.127219,0.041438,0.067625,37.715819
bart,table,on,off,off,0.021695,0.24585,0.438957,0.088033,0.1893,21.023219
bert,table,on,off,off,0.014546,0.242491,0.420382,0.07152,0.165605,41.18789
t5,table,on,off,off,0.014589,0.263016,0.451709,0.083458,0.193165,36.460836
longformer_ext,table,on,off,off,0.022001,0.230347,0.449141,0.071523,0.169089,31.83704
none,plot+table,on,off,off,0.010113,0.216495,0.162619,0.05187,0.084584,37.813292
bart,plot+table,on,off,off,0.048861,0.240354,0.405316,0.103333,0.196013,19.699563
bert,plot+table,on,off,off,0.043034,0.227046,0.444444,0.122137,0.197869,32.780256
t5,plot+table,on,off,off,0.021013,0.204991,0.41626,0.088091,0.178862,21.319656
longformer_ext,plot+table,on,off,off,0.028459,0.257219,0.470886,0.101523,0.189873,32.413267
none,plot,off,on,off,0.011193,0.220082,0.167305,0.050103,0.084831,38.864188
bart,plot,off,on,off,0.024015,0.184664,0.380952,0.088496,0.165785,27.587515
bert,plot,off,on,off,0.030022,0.221831,0.44588,0.090762,0.193861,28.153
t5,plot,off,on,off,0.021448,0.189586,0.404494,0.093985,0.17603,32.42125
longformer_ext,plot,off,on,off,0.042622,0.239326,0.414894,0.098667,0.18883,24.94175
none,table,off,on,off,0.007025,0.190396,0.127025,0.043657,0.065241,38.621174
bart,table,off,on,off,0.011123,0.230708,0.394698,0.082718,0.164948,26.809992
bert,table,off,on,off,0.025247,0.255582,0.441137,0.089552,0.175913,32.515448
t5,table,off,on,off,0.021783,0.194242,0.381877,0.087662,0.161812,30.869756
longformer_ext,table,off,on,off,0.011475,0.218988,0.347555,0.039625,0.126951,41.244368
none,plot+table,off,on,off,0.009725,0.211115,0.150828,0.044864,0.071847,34.93798
bart,plot+table,off,on,off,0.030314,0.19632,0.379147,0.098257,0.183254,16.137977
bert,plot+table,off,on,off,0.044509,0.26575,0.449857,0.117816,0.194842,36.160526
t5,plot+table,off,on,off,0.027829,0.207779,0.376667,0.076923,0.176667,24.524044
longformer_ext,plot+table,off,on,off,0.012031,0.239422,0.342133,0.063492,0.141499,27.871563
none,plot,off,off,on,0.012917,0.209963,0.169277,0.053647,0.08494,37.342811
bart,plot,off,off,on,0.050035,0.26661,0.505902,0.169205,0.209106,28.076476
bert,plot,off,off,on,0.040408,0.238155,0.445151,0.108453,0.200318,34.100991
t5,plot,off,off,on,0.014141,0.180638,0.376984,0.095618,0.170635,31.189646
longformer_ext,plot,off,off,on,0.042249,0.257746,0.394218,0.100132,0.194481,27.553079
none,table,off,off,on,0.007032,0.19379,0.149354,0.047053,0.072351,38.454528
bart,table,off,off,on,0.025674,0.252576,0.452308,0.12037,0.206154,20.626195
bert,table,off,off,on,0.025728,0.253426,0.436314,0.089674,0.184282,28.9675
t5,table,off,off,on,0.014334,0.196812,0.403478,0.08726,0.177391,29.567188
longformer_ext,table,off,off,on,0.025322,0.278027,0.383158,0.090717,0.16,30.156065
none,plot+table,off,off,on,0.010607,0.214064,0.163813,0.056539,0.081621,35.881326
bart,plot+table,off,off,on,0.045216,0.216457,0.411664,0.11704,0.198971,25.488171
bert,plot+table,off,off,on,0.038144,0.24606,0.44898,0.122835,0.188383,22.411
t5,plot+table,off,off,on,0.013567,0.189722,0.385321,0.084715,0.168807,31.851524
longformer_ext,plot+table,off,off,on,0.026622,0.176895,0.284519,0.064336,0.156206,27.065652
none,plot,on,off,on,0.009493,0.224522,0.167001,0.05168,0.0901,36.163371
bart,plot,on,off,on,0.034951,0.21481,0.427119,0.095238,0.19661,30.100811
bert,plot,on,off,on,0.024285,0.266943,0.489666,0.127592,0.200318,38.341624
t5,plot,on,off,on,0.018938,0.260248,0.439597,0.087542,0.208054,34.192021
longformer_ext,plot,on,off,on,0.02894,0.228449,0.408163,0.076398,0.171429,36.108617
none,table,on,off,on,0.004857,0.204588,0.150692,0.042564,0.079446,38.810757
bart,table,on,off,on,0.038161,0.243403,0.444795,0.098101,0.201893,23.606023
bert,table,on,off,on,0.020639,0.246342,0.456086,0.089645,0.178737,33.955455
t5,table,on,off,on,0.013087,0.194392,0.377622,0.070175,0.171329,35.920883
longformer_ext,table,on,off,on,0.014814,0.213227,0.356077,0.066239,0.144989,24.597626
none,plot+table,on,off,on,0.009018,0.207787,0.159282,0.051129,0.083175,34.988709
bart,plot+table,on,off,on,0.035976,0.255267,0.436187,0.081037,0.200323,32.584834
bert,plot+table,on,off,on,0.027153,0.273142,0.486239,0.128834,0.201835,42.21913
t5,plot+table,on,off,on,0.031067,0.252539,0.460317,0.117834,0.203175,25.081159
longformer_ext,plot+table,on,off,on,0.013586,0.190049,0.392211,0.050209,0.139082,33.161051
none,plot,on,on,off,0.008491,0.222567,0.160907,0.04592,0.083495,33.833063
bart,plot,on,on,off,0.035365,0.225558,0.365079,0.092357,0.177778,18.383098
bert,plot,on,on,off,0.039393,0.25716,0.454405,0.102326,0.185471,37.471647
t5,plot,on,on,off,0.019106,0.227756,0.402662,0.093489,0.196339,40.718828
