Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot+table,off,on,on,0.006591,0.235594,0.176182,0.04914,0.081031,26.171298
bart,plot+table,off,on,on,0.009075,0.180674,0.383513,0.068345,0.157706,16.551384
bert,plot+table,off,on,on,0.008143,0.290821,0.378194,0.075085,0.139693,19.832151
t5,plot+table,off,on,on,0.015846,0.178774,0.374517,0.069767,0.173745,22.837045
longformer_ext,plot+table,off,on,on,0.014542,0.231451,0.385827,0.081579,0.165354,9.75074
none,plot,on,on,on,0.009789,0.218918,0.167147,0.053057,0.080692,31.972101
bart,plot,on,on,on,0.019547,0.199719,0.410169,0.071429,0.169492,26.016758
bert,plot,on,on,on,0.012482,0.254553,0.340462,0.058269,0.126604,6.763221
t5,plot,on,on,on,0.015472,0.183667,0.389189,0.083183,0.147748,22.001849
longformer_ext,plot,on,on,on,0.019059,0.186684,0.351682,0.052147,0.140673,35.661955
none,table,on,on,on,0.00395,0.198556,0.139742,0.038001,0.063775,28.976707
bart,table,on,on,on,0.013375,0.167527,0.345395,0.049505,0.151316,16.626284
bert,table,on,on,on,0.009209,0.274644,0.30426,0.055518,0.117647,7.421652
t5,table,on,on,on,0.010947,0.149134,0.340949,0.045855,0.137083,28.927477
longformer_ext,table,on,on,on,0.01421,0.198056,0.336424,0.045153,0.153642,7.669773
none,plot+table,on,on,on,0.004544,0.205106,0.15555,0.042733,0.070129,29.097593
bart,plot+table,on,on,on,0.022469,0.202716,0.410339,0.08752,0.171244,18.231421
bert,plot+table,on,on,on,0.009084,0.268731,0.323065,0.06471,0.127724,9.600381
t5,plot+table,on,on,on,0.014912,0.153059,0.33935,0.047101,0.133574,29.147411
longformer_ext,plot+table,on,on,on,0.014238,0.220162,0.363029,0.064732,0.144766,18.53125
none,plot,off,off,off,0.006851,0.258127,0.223455,0.065028,0.106181,41.681692
bart,plot,off,off,off,0.008349,0.147621,0.323651,0.070833,0.165975,16.9
bert,plot,off,off,off,0.010467,0.266479,0.433982,0.104615,0.174002,31.189583
t5,plot,off,off,off,0.006411,0.186546,0.383333,0.096234,0.166667,26.345625
longformer_ext,plot,off,off,off,0.014842,0.23368,0.400545,0.087432,0.185286,6.757398
none,table,off,off,off,0.005075,0.21078,0.151845,0.04834,0.075392,33.704931
bart,table,off,off,off,0.010465,0.173396,0.342561,0.086806,0.176471,25.758784
bert,table,off,off,off,0.006893,0.251376,0.316334,0.063657,0.127125,18.043408
t5,table,off,off,off,0.014342,0.177646,0.365591,0.089928,0.168459,15.794766
longformer_ext,table,off,off,off,0.007838,0.249381,0.358178,0.064315,0.149068,25.561939
none,plot+table,off,off,off,0.007323,0.249815,0.200209,0.057243,0.09278,41.365148
bart,plot+table,off,off,off,0.012225,0.162741,0.350365,0.07326,0.160584,24.496652
bert,plot+table,off,off,off,0.009929,0.261023,0.373162,0.069982,0.152574,22.84894
t5,plot+table,off,off,off,0.023565,0.162069,0.353612,0.091603,0.18251,38.335051
longformer_ext,plot+table,off,off,off,0.016543,0.202157,0.368189,0.085672,0.170839,21.195393
none,plot,on,off,off,0.011484,0.249152,0.219178,0.061105,0.103327,44.925893
bart,plot,on,off,off,0.01234,0.161503,0.375494,0.055556,0.158103,27.919674
bert,plot,on,off,off,0.01768,0.288397,0.42288,0.096213,0.161389,20.731794
t5,plot,on,off,off,0.006689,0.124564,0.315335,0.043384,0.142549,36.912177
longformer_ext,plot,on,off,off,0.020851,0.242157,0.411924,0.086957,0.168022,11.023742
none,table,on,off,off,0.004118,0.190422,0.140797,0.042553,0.068932,36.673995
bart,table,on,off,off,0.016115,0.196346,0.411483,0.0608,0.172249,15.198089
bert,table,on,off,off,0.010756,0.259932,0.307475,0.072034,0.12835,11.038455
t5,table,on,off,off,0.012601,0.163713,0.373239,0.053004,0.15493,45.080307
longformer_ext,table,on,off,off,0.01572,0.245053,0.368889,0.060134,0.157778,36.961399
none,plot+table,on,off,off,0.006438,0.215044,0.179685,0.052518,0.079654,41.535106
bart,plot+table,on,off,off,0.015823,0.182487,0.412811,0.057143,0.174377,29.097226
bert,plot+table,on,off,off,0.015158,0.254287,0.333901,0.075085,0.148211,18.316784
t5,plot+table,on,off,off,0.009813,0.141437,0.337812,0.050096,0.149712,39.934741
longformer_ext,plot+table,on,off,off,0.008928,0.187368,0.364372,0.040595,0.145749,32.025148
none,plot,off,on,off,0.010342,0.252779,0.207424,0.056082,0.098253,31.495302
bart,plot,off,on,off,0.011998,0.15453,0.370518,0.076,0.175299,20.587504
bert,plot,off,on,off,0.012414,0.249122,0.37513,0.070613,0.149223,19.410193
t5,plot,off,on,off,0.016751,0.17629,0.374291,0.068311,0.166352,20.46316
longformer_ext,plot,off,on,off,0.025921,0.222974,0.403955,0.084986,0.186441,23.560543
none,table,off,on,off,0.004246,0.210458,0.149685,0.043615,0.071429,32.095628
bart,table,off,on,off,0.022656,0.211149,0.407705,0.090177,0.179775,18.557168
bert,table,off,on,off,0.007172,0.263149,0.322681,0.062451,0.126267,13.183971
t5,table,off,on,off,0.010185,0.192007,0.395147,0.069565,0.162912,16.834231
longformer_ext,table,off,on,off,0.012344,0.218528,0.340206,0.053719,0.152577,30.333033
none,plot+table,off,on,off,0.006484,0.235451,0.180976,0.051916,0.082767,36.504161
bart,plot+table,off,on,off,0.022729,0.18118,0.405694,0.089286,0.170819,20.167153
bert,plot+table,off,on,off,0.00826,0.273315,0.359281,0.082262,0.150556,24.362067
t5,plot+table,off,on,off,0.016353,0.164727,0.355899,0.093204,0.162476,34.373409
longformer_ext,plot+table,off,on,off,0.009656,0.217639,0.381842,0.048193,0.168224,31.152102
none,plot,off,off,on,0.007108,0.234269,0.181308,0.056733,0.089097,32.625133
bart,plot,off,off,on,0.032218,0.211962,0.410959,0.103093,0.195205,27.961879
bert,plot,off,off,on,0.01175,0.268268,0.393715,0.085185,0.151571,23.317714
t5,plot,off,off,on,0.009524,0.197845,0.400729,0.091408,0.160291,26.433638
longformer_ext,plot,off,off,on,0.010233,0.21878,0.372155,0.06443,0.144578,16.101752
none,table,off,off,on,0.004793,0.210737,0.145617,0.044599,0.072313,31.12504
bart,table,off,off,on,0.021167,0.216211,0.422188,0.089645,0.178737,19.741447
bert,table,off,off,on,0.004988,0.248486,0.305658,0.069169,0.130786,19.480239
t5,table,off,off,on,0.01019,0.194848,0.410084,0.057336,0.17479,40.67103
