Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,off,on,0.019322,0.164088,0.401525,0.084076,0.160102,25.560569
bart,plot,off,off,on,1.1e-05,0.041809,0.140457,0.047747,0.079973,25.560569
bert,plot,off,off,on,0.006599,0.247621,0.351731,0.071228,0.14406,17.314848
bert,plot,off,off,on,0.024144,0.254414,0.438486,0.090047,0.165615,17.314848
bert,plot,off,off,on,0.010211,0.107082,0.314724,0.119826,0.155048,17.314848
t5,plot,off,off,on,0.013032,0.159199,0.342412,0.078125,0.18677,31.434889
t5,plot,off,off,on,0.014024,0.126203,0.31136,0.075949,0.143058,31.434889
t5,plot,off,off,on,0.0,0.034937,0.102688,0.037241,0.064783,31.434889
longformer_ext,plot,off,off,on,0.014009,0.213562,0.36612,0.071233,0.174863,4.120691
longformer_ext,plot,off,off,on,0.028918,0.179618,0.390977,0.068891,0.161117,4.120691
longformer_ext,plot,off,off,on,0.000277,0.059134,0.18141,0.053881,0.091026,4.120691
none,table,off,off,on,0.004244,0.212933,0.150521,0.042731,0.071875,32.682336
none,table,off,off,on,0.01231,0.236357,0.204506,0.062423,0.094083,32.682336
none,table,off,off,on,0.034859,0.278058,0.546243,0.184067,0.226076,32.682336
bart,table,off,off,on,0.010755,0.213603,0.380165,0.076285,0.161983,18.677448
bart,table,off,off,on,0.021913,0.154921,0.385572,0.089776,0.164179,18.677448
bart,table,off,off,on,2.2e-05,0.044458,0.144337,0.04547,0.079519,18.677448
bert,table,off,off,on,0.009715,0.248794,0.314088,0.069391,0.12933,15.747365
bert,table,off,off,on,0.020024,0.26729,0.41522,0.092246,0.157543,15.747365
bert,table,off,off,on,0.011056,0.136794,0.368321,0.127544,0.170328,15.747365
t5,table,off,off,on,0.015331,0.198128,0.367776,0.080844,0.185639,18.393406
t5,table,off,off,on,0.020631,0.155287,0.366234,0.083333,0.166234,18.393406
t5,table,off,off,on,4e-06,0.036615,0.117607,0.033142,0.068266,18.393406
longformer_ext,table,off,off,on,0.013353,0.261587,0.362851,0.075758,0.161987,29.444515
longformer_ext,table,off,off,on,0.030271,0.212202,0.398222,0.071238,0.158222,29.444515
longformer_ext,table,off,off,on,0.001553,0.086186,0.248642,0.065217,0.111044,29.444515
none,plot+table,off,off,on,0.005854,0.222779,0.169551,0.050484,0.083309,33.700942
none,plot+table,off,off,on,0.012808,0.252342,0.227827,0.063228,0.103659,33.700942
none,plot+table,off,off,on,0.054911,0.281636,0.580645,0.202588,0.256339,33.700942
bart,plot+table,off,off,on,0.029555,0.197691,0.407346,0.093802,0.200334,26.173663
bart,plot+table,off,off,on,0.017178,0.144015,0.408521,0.075377,0.165414,26.173663
bart,plot+table,off,off,on,1.7e-05,0.043103,0.144627,0.047571,0.079009,26.173663
bert,plot+table,off,off,on,0.01381,0.282568,0.363336,0.081059,0.151941,18.079783
bert,plot+table,off,off,on,0.024168,0.280471,0.425532,0.09233,0.161702,18.079783
bert,plot+table,off,off,on,0.013295,0.124986,0.355099,0.121212,0.167824,18.079783
t5,plot+table,off,off,on,0.020389,0.194276,0.378092,0.106383,0.187279,42.65206
t5,plot+table,off,off,on,0.019321,0.138554,0.363399,0.076016,0.16732,42.65206
t5,plot+table,off,off,on,3e-06,0.039779,0.124577,0.039973,0.072444,42.65206
longformer_ext,plot+table,off,off,on,0.013151,0.229682,0.367847,0.060109,0.174387,34.327427
longformer_ext,plot+table,off,off,on,0.024464,0.155795,0.345123,0.066595,0.150054,34.327427
longformer_ext,plot+table,off,off,on,0.000276,0.064054,0.181294,0.05,0.098655,34.327427
none,plot,on,off,on,0.008836,0.219433,0.169213,0.051734,0.081081,35.360567
none,plot,on,off,on,0.010626,0.250738,0.239245,0.072758,0.108243,35.360567
