Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
table,off,on,off,0.053374,0.264853,0.521121,0.178515,0.23332,34.266279
table,off,on,off,0.061607,0.265605,0.506329,0.16028,0.209194,40.50166
plot+table,off,on,off,0.037724,0.265209,0.482865,0.157813,0.221982,33.07697
plot+table,off,on,off,0.05175,0.276278,0.53018,0.180201,0.232356,34.743434
plot+table,off,on,off,0.057676,0.276437,0.54778,0.182195,0.22084,42.707848
plot,off,off,on,0.049584,0.269918,0.552262,0.18103,0.251343,38.640111
plot,off,off,on,0.054104,0.270218,0.577504,0.199532,0.249203,37.70036
plot,off,off,on,0.073049,0.264653,0.576879,0.193524,0.236994,43.058642
table,off,off,on,0.036702,0.265595,0.475343,0.146628,0.22621,36.574143
table,off,off,on,0.056991,0.259467,0.535439,0.178282,0.246659,38.407111
table,off,off,on,0.066093,0.264179,0.522654,0.178087,0.219765,37.820713
plot+table,off,off,on,0.042411,0.269057,0.520246,0.164614,0.242306,36.826131
plot+table,off,off,on,0.062961,0.261452,0.546763,0.198561,0.25857,36.887102
plot+table,off,off,on,0.06168,0.257696,0.542862,0.185232,0.222703,39.822701
plot,on,off,on,0.048596,0.27538,0.540086,0.186139,0.243154,36.882635
plot,on,off,on,0.054407,0.266527,0.561482,0.190631,0.255293,39.24246
plot,on,off,on,0.05938,0.278536,0.543693,0.192517,0.226114,43.422856
table,on,off,on,0.037208,0.27671,0.474156,0.146703,0.217001,33.524559
table,on,off,on,0.048094,0.261941,0.522329,0.179453,0.243452,37.886298
table,on,off,on,0.05518,0.270567,0.504682,0.170186,0.213934,40.957718
plot+table,on,off,on,0.035664,0.271162,0.506385,0.167481,0.235535,34.066864
plot+table,on,off,on,0.050229,0.258077,0.510327,0.171675,0.245212,35.132525
plot+table,on,off,on,0.049141,0.281668,0.51292,0.1772,0.213294,39.74965
plot,on,on,off,0.038559,0.271313,0.519221,0.178278,0.246421,36.468336
plot,on,on,off,0.048729,0.272738,0.552596,0.194126,0.247326,37.042631
plot,on,on,off,0.051064,0.287766,0.53305,0.189388,0.224906,40.9202
table,on,on,off,0.034468,0.255605,0.442357,0.139237,0.204384,36.676853
table,on,on,off,0.044584,0.24909,0.496226,0.159305,0.231321,35.41275
table,on,on,off,0.053289,0.270023,0.480178,0.156259,0.198521,38.848055
plot+table,on,on,off,0.029875,0.273435,0.472971,0.150093,0.218514,35.187913
plot+table,on,on,off,0.04802,0.260223,0.507463,0.178802,0.235121,34.820495
plot+table,on,on,off,0.044582,0.277801,0.501921,0.166174,0.204552,39.938176
plot,off,on,on,0.043778,0.26902,0.520504,0.173127,0.244107,35.846193
plot,off,on,on,0.051114,0.281021,0.565114,0.195219,0.238152,32.808841
plot,off,on,on,0.060072,0.264804,0.539893,0.181818,0.223256,37.298992
table,off,on,on,0.037137,0.262025,0.461105,0.150585,0.222551,31.28021
table,off,on,on,0.059733,0.260803,0.521298,0.183036,0.24503,33.216633
table,off,on,on,0.05612,0.263745,0.500083,0.163326,0.202683,34.658965
plot+table,off,on,on,0.037289,0.270922,0.481942,0.159427,0.230151,33.991121
plot+table,off,on,on,0.059245,0.280174,0.534707,0.190624,0.240327,34.385367
plot+table,off,on,on,0.053826,0.274603,0.518506,0.178981,0.213444,36.392337
plot,on,on,on,0.039523,0.270629,0.509488,0.168565,0.23015,32.768665
plot,on,on,on,0.053695,0.268935,0.529764,0.183521,0.242606,32.656709
plot,on,on,on,0.058506,0.275087,0.503854,0.18322,0.212766,38.299064
table,on,on,on,0.036408,0.272692,0.467485,0.152674,0.221752,31.359054
table,on,on,on,0.04955,0.257899,0.51076,0.171842,0.239193,33.969363
table,on,on,on,0.05135,0.274031,0.484951,0.16129,0.201781,36.700638
plot+table,on,on,on,0.035656,0.273979,0.467953,0.154713,0.220594,28.32426
plot+table,on,on,on,0.054233,0.267591,0.51601,0.176634,0.239126,31.728663
plot+table,on,on,on,0.046248,0.278097,0.491974,0.170384,0.203032,35.152673
