Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot+table,on,off,on,0.025444,0.148213,0.367113,0.113027,0.17782,25.781071
bert,plot+table,on,off,on,0.027126,0.159835,0.405278,0.103872,0.180961,27.241284
t5,plot+table,on,off,on,0.011307,0.124818,0.336449,0.106139,0.166147,27.177692
longformer_ext,plot+table,on,off,on,0.002147,0.065449,0.21,0.028056,0.112,36.082741
none,plot,on,on,off,0.030095,0.288318,0.290728,0.1172,0.132796,36.468336
bart,plot,on,on,off,0.023572,0.152743,0.379674,0.111431,0.178332,22.723269
bert,plot,on,on,off,0.039444,0.198315,0.45266,0.135501,0.207394,33.789188
t5,plot,on,on,off,0.012156,0.12227,0.322314,0.089027,0.165289,24.435059
longformer_ext,plot,on,on,off,0.018357,0.146651,0.376404,0.08818,0.166667,51.3025
none,table,on,on,off,0.012141,0.254008,0.238758,0.080016,0.111421,36.676853
bart,table,on,on,off,0.007252,0.136095,0.347426,0.069982,0.163603,13.626989
