Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
longformer_ext,plot,off,on,on,0.167116,0.167116,0.167116,0.083558,0.167116,0.0
none,table,off,on,on,0.078472,0.078472,0.078472,0.039236,0.078472,0.0
bart,table,off,on,on,0.149766,0.149766,0.149766,0.074883,0.149766,0.0
bert,table,off,on,on,0.131805,0.131805,0.131805,0.065903,0.131805,0.0
t5,table,off,on,on,0.162791,0.162791,0.162791,0.081395,0.162791,0.0
longformer_ext,table,off,on,on,0.083707,0.083707,0.083707,0.041854,0.083707,0.0
none,plot+table,off,on,on,0.085137,0.085137,0.085137,0.042568,0.085137,0.0
bart,plot+table,off,on,on,0.179153,0.179153,0.179153,0.089577,0.179153,0.0
bert,plot+table,off,on,on,0.137255,0.137255,0.137255,0.068627,0.137255,0.0
t5,plot+table,off,on,on,0.155629,0.155629,0.155629,0.077815,0.155629,0.0
longformer_ext,plot+table,off,on,on,0.015968,0.015968,0.015968,0.007984,0.015968,2.4
none,plot,on,on,on,0.083141,0.083141,0.083141,0.04157,0.083141,0.0
bart,plot,on,on,on,0.161339,0.161339,0.161339,0.08067,0.161339,0.0
bert,plot,on,on,on,0.125174,0.125174,0.125174,0.062587,0.125174,0.0
t5,plot,on,on,on,0.141176,0.141176,0.141176,0.070588,0.141176,0.0
longformer_ext,plot,on,on,on,0.108883,0.108883,0.108883,0.054441,0.108883,0.0
none,table,on,on,on,0.073171,0.073171,0.073171,0.036585,0.073171,0.0
bart,table,on,on,on,0.162722,0.162722,0.162722,0.081361,0.162722,0.0
bert,table,on,on,on,0.137281,0.137281,0.137281,0.068641,0.137281,0.0
t5,table,on,on,on,0.146087,0.146087,0.146087,0.073043,0.146087,0.0
longformer_ext,table,on,on,on,0.148359,0.148359,0.148359,0.07418,0.148359,0.0
none,plot+table,on,on,on,0.080302,0.080302,0.080302,0.040151,0.080302,0.0
bart,plot+table,on,on,on,0.159375,0.159375,0.159375,0.079688,0.159375,0.0
bert,plot+table,on,on,on,0.143054,0.143054,0.143054,0.071527,0.143054,0.0
t5,plot+table,on,on,on,0.128289,0.128289,0.128289,0.064145,0.128289,0.0
longformer_ext,plot+table,on,on,on,0.103448,0.103448,0.103448,0.051724,0.103448,0.0
none,plot,off,off,off,0.085631,0.085631,0.085631,0.042816,0.085631,0.0
bart,plot,off,off,off,0.133122,0.133122,0.133122,0.066561,0.133122,0.0
bert,plot,off,off,off,0.141667,0.141667,0.141667,0.070833,0.141667,0.0
t5,plot,off,off,off,0.16263,0.16263,0.16263,0.081315,0.16263,0.0
longformer_ext,plot,off,off,off,0.145985,0.145985,0.145985,0.072993,0.145985,0.0
none,table,off,off,off,0.073045,0.073045,0.073045,0.036522,0.073045,0.0
bart,table,off,off,off,0.122779,0.122779,0.122779,0.061389,0.122779,0.0
