Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot+table,off,on,off,0.046067,0.193236,0.397018,0.112045,0.195713,35.536143,longformer_ext
plot+table,off,on,off,0.019588,0.167023,0.373832,0.097815,0.168224,28.62587,t5
plot,off,off,on,0.018728,0.138504,0.371482,0.097744,0.166979,24.337649,bart
plot,off,off,on,0.019634,0.268485,0.440731,0.086775,0.156658,5.04527,bert
plot,off,off,on,0.003423,0.084261,0.219124,0.02994,0.099602,13.676957,longformer_ext
plot,off,off,on,0.023082,0.138501,0.356604,0.090737,0.160377,13.150861,t5
plot,off,off,on,0.045945,0.195953,0.443988,0.15036,0.217883,28.779114,bart
plot,off,off,on,0.033232,0.263496,0.422698,0.135652,0.17487,-3.160305,bert
plot,off,off,on,0.019659,0.172561,0.39929,0.104889,0.161491,10.058346,longformer_ext
plot,off,off,on,0.007572,0.131481,0.327434,0.088692,0.143805,18.426345,t5
table,off,off,on,0.021848,0.150896,0.3649,0.064404,0.168549,13.729949,bart
table,off,off,on,0.019593,0.279232,0.421692,0.073,0.153343,-4.530079,bert
table,off,off,on,0.010593,0.172752,0.384615,0.055891,0.156863,7.892471,longformer_ext
table,off,off,on,0.014862,0.128293,0.313943,0.066605,0.142198,11.837134,t5
table,off,off,on,0.042767,0.171127,0.400417,0.117032,0.189781,26.615146,bart
table,off,off,on,0.034202,0.264329,0.410755,0.124857,0.156751,-9.537874,bert
table,off,off,on,0.007657,0.087076,0.273305,0.061571,0.133475,39.663655,longformer_ext
table,off,off,on,0.016458,0.140428,0.346392,0.086777,0.146392,22.878755,t5
plot+table,off,off,on,0.027076,0.160153,0.399637,0.096451,0.170754,18.263237,bart
plot+table,off,off,on,0.024787,0.288264,0.435986,0.088075,0.162135,0.741568,bert
plot+table,off,off,on,0.012951,0.152315,0.359932,0.05102,0.152801,24.787184,longformer_ext
plot+table,off,off,on,0.02156,0.144448,0.359649,0.068541,0.161404,10.20086,t5
plot+table,off,off,on,0.033558,0.143903,0.363436,0.134658,0.189427,14.73879,bart
