Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot,on,on,off,0.02058,0.165556,0.408511,0.092072,0.163404,15.33872,t5
table,on,on,off,0.047092,0.242211,0.454545,0.080357,0.165775,5.655735,bart
table,on,on,off,0.011547,0.266616,0.289578,0.061306,0.103421,-4.113913,bert
table,on,on,off,0.040351,0.224503,0.396839,0.05277,0.143986,1.283077,longformer_ext
table,on,on,off,0.009958,0.177368,0.385155,0.036181,0.122367,5.867654,t5
table,on,on,off,0.006868,0.158689,0.382979,0.056853,0.129686,7.708824,bart
table,on,on,off,0.007941,0.242484,0.420519,0.058691,0.125141,-5.305647,bert
table,on,on,off,0.00239,0.080686,0.20078,0.015625,0.074074,-65.136316,longformer_ext
table,on,on,off,0.007216,0.141905,0.359667,0.060417,0.12474,22.872704,t5
table,on,on,off,0.010641,0.151652,0.363785,0.066993,0.1354,9.434362,bart
table,on,on,off,0.012994,0.277863,0.374793,0.06971,0.126036,-7.929503,bert
table,on,on,off,0.01476,0.170296,0.356495,0.055976,0.140483,24.084425,longformer_ext
table,on,on,off,0.016964,0.15186,0.360711,0.064461,0.15072,23.369033,t5
plot+table,on,on,off,0.046755,0.206784,0.44666,0.08991,0.165503,14.917849,bart
plot+table,on,on,off,0.008333,0.265134,0.325088,0.062776,0.122792,-1.941032,bert
plot+table,on,on,off,0.032665,0.212531,0.40354,0.065603,0.148673,22.9355,longformer_ext
plot+table,on,on,off,0.013279,0.189786,0.426639,0.045881,0.12487,22.352192,t5
plot+table,on,on,off,0.005831,0.173385,0.408085,0.055931,0.12897,9.371426,bart
plot+table,on,on,off,0.005934,0.267063,0.409719,0.06104,0.122916,-5.519542,bert
plot+table,on,on,off,0.00983,0.203748,0.367491,0.036801,0.100353,16.751982,longformer_ext
plot+table,on,on,off,0.011195,0.135049,0.338115,0.039014,0.122951,21.9525,t5
plot+table,on,on,off,0.029511,0.168843,0.39548,0.100243,0.146893,34.25145,bart
plot+table,on,on,off,0.017248,0.281951,0.398018,0.090083,0.142031,0.06353,bert
plot+table,on,on,off,0.021429,0.159924,0.400651,0.066884,0.143322,17.360527,longformer_ext
plot+table,on,on,off,0.019771,0.174915,0.402289,0.088452,0.142273,12.584775,t5
plot,off,on,on,0.019106,0.206073,0.433367,0.077472,0.164802,14.174755,bart
plot,off,on,on,0.010244,0.27566,0.364377,0.071319,0.118066,-5.140817,bert
plot,off,on,on,0.014384,0.182922,0.404297,0.058708,0.126953,6.034413,longformer_ext
plot,off,on,on,0.039994,0.206156,0.426339,0.096197,0.158482,1.283607,t5
plot,off,on,on,0.011752,0.154432,0.40804,0.080564,0.154774,17.795144,bart
plot,off,on,on,0.012251,0.270724,0.490395,0.096154,0.150282,4.775293,bert
plot,off,on,on,0.012503,0.171,0.408787,0.082297,0.148997,5.008238,longformer_ext
plot,off,on,on,0.004721,0.124845,0.356164,0.057022,0.134879,6.399399,t5
plot,off,on,on,0.025035,0.173957,0.417467,0.125984,0.188646,14.399758,bart
plot,off,on,on,0.022765,0.271977,0.442011,0.099651,0.146341,-10.321423,bert
plot,off,on,on,0.013637,0.169857,0.38871,0.071082,0.13871,4.815992,longformer_ext
plot,off,on,on,0.008599,0.13649,0.340019,0.089952,0.158548,6.342317,t5
table,off,on,on,0.017397,0.211687,0.453094,0.088,0.171657,14.847167,bart
table,off,on,on,0.004796,0.260682,0.317031,0.05507,0.103057,-11.367215,bert
table,off,on,on,0.011587,0.172997,0.351013,0.042512,0.111861,6.836334,longformer_ext
table,off,on,on,0.03582,0.223537,0.453831,0.082677,0.155206,5.086152,t5
table,off,on,on,0.012612,0.145289,0.380252,0.08,0.142857,15.284155,bart
table,off,on,on,0.012001,0.239503,0.434479,0.092128,0.144438,-4.362116,bert
table,off,on,on,0.019728,0.207918,0.443366,0.082658,0.144013,0.805015,longformer_ext
table,off,on,on,0.003952,0.129802,0.382445,0.075393,0.14629,17.845764,t5
table,off,on,on,0.02216,0.149551,0.392857,0.112701,0.1625,34.751677,bart
table,off,on,on,0.015816,0.276909,0.44666,0.0998,0.157527,0.777072,bert
table,off,on,on,0.02276,0.197007,0.4,0.081232,0.153846,6.287914,longformer_ext
table,off,on,on,0.008836,0.130759,0.318519,0.06308,0.124074,13.83497,t5
plot+table,off,on,on,0.031384,0.21209,0.452756,0.086785,0.175197,18.139231,bart
plot+table,off,on,on,0.006609,0.269523,0.328982,0.060976,0.112272,-4.647727,bert
plot+table,off,on,on,0.013311,0.185339,0.390593,0.047131,0.130879,10.256345,longformer_ext
plot+table,off,on,on,0.043631,0.21364,0.444894,0.091185,0.171891,15.403529,t5
plot+table,off,on,on,0.01198,0.14428,0.362189,0.069791,0.135323,1.54367,bart
plot+table,off,on,on,0.011897,0.269077,0.455071,0.090479,0.142932,2.766961,bert
plot+table,off,on,on,0.016143,0.175258,0.419065,0.091892,0.142086,-1.263923,longformer_ext
plot+table,off,on,on,0.004389,0.14347,0.366053,0.063525,0.128834,8.2025,t5
plot+table,off,on,on,0.015145,0.160804,0.359019,0.078947,0.141856,6.93067,bart
plot+table,off,on,on,0.028215,0.281983,0.441481,0.098863,0.163951,-6.362927,bert
plot+table,off,on,on,0.014303,0.165996,0.357377,0.064039,0.137705,4.202279,longformer_ext
plot+table,off,on,on,0.021499,0.140685,0.352074,0.097876,0.156682,13.721042,t5
plot,on,on,on,0.038732,0.235514,0.497087,0.083658,0.196117,20.088685,bart
plot,on,on,on,0.009238,0.280285,0.339073,0.063632,0.122737,-6.17608,bert
plot,on,on,on,0.034448,0.221597,0.436823,0.068716,0.15343,17.751973,longformer_ext
plot,on,on,on,0.007908,0.188336,0.4125,0.041754,0.125,9.785245,t5
plot,on,on,on,0.006629,0.18933,0.469799,0.080692,0.151486,21.638268,bart
plot,on,on,on,0.007979,0.260016,0.444077,0.062879,0.133333,-5.982086,bert
plot,on,on,on,0.000796,0.055622,0.162866,0.006529,0.067318,-75.948599,longformer_ext
plot,on,on,on,0.002456,0.113386,0.313305,0.027957,0.118026,11.403839,t5
plot,on,on,on,0.05699,0.210833,0.471068,0.142041,0.187449,21.066371,bart
plot,on,on,on,0.014312,0.255282,0.385431,0.082141,0.134624,-13.14463,bert
plot,on,on,on,0.023773,0.182151,0.395954,0.0767,0.140173,-12.341538,longformer_ext
plot,on,on,on,0.015873,0.148427,0.367876,0.072664,0.134715,12.150161,t5
table,on,on,on,0.052774,0.232713,0.452727,0.071038,0.167273,7.824178,bart
table,on,on,on,0.011813,0.257048,0.292549,0.059655,0.109804,0.822857,bert
table,on,on,on,0.040859,0.208041,0.4,0.060552,0.144,2.763562,longformer_ext
table,on,on,on,0.012235,0.213868,0.423415,0.046921,0.136585,26.14094,t5
table,on,on,on,0.007562,0.166447,0.400402,0.066532,0.144869,22.826786,bart
table,on,on,on,0.009254,0.250759,0.412815,0.068349,0.128151,-7.041708,bert
table,on,on,on,0.010904,0.145538,0.307828,0.042291,0.105541,-34.830742,longformer_ext
table,on,on,on,0.005395,0.135237,0.339896,0.037383,0.116062,12.658904,t5
table,on,on,on,0.028024,0.167152,0.385935,0.094502,0.16295,23.552597,bart
table,on,on,on,0.018546,0.262969,0.396783,0.091234,0.140304,-9.647655,bert
table,on,on,on,0.026403,0.173043,0.441292,0.102605,0.152876,0.328719,longformer_ext
table,on,on,on,0.015755,0.141187,0.346457,0.064855,0.132983,20.518988,t5
plot+table,on,on,on,0.035227,0.205804,0.437376,0.061753,0.172962,12.877226,bart
plot+table,on,on,on,0.011852,0.26938,0.322992,0.071459,0.122397,-2.870469,bert
plot+table,on,on,on,0.029738,0.190099,0.425532,0.074627,0.153191,25.071613,longformer_ext
plot+table,on,on,on,0.010944,0.195258,0.434595,0.052004,0.136216,10.747879,t5
plot+table,on,on,on,0.008685,0.175313,0.393732,0.074583,0.139079,21.651266,bart
plot+table,on,on,on,0.010015,0.27546,0.441053,0.077977,0.137895,-1.7317,bert
plot+table,on,on,on,0.011123,0.114149,0.220169,0.026214,0.093918,3.316464,longformer_ext
plot+table,on,on,on,0.004761,0.132391,0.322928,0.038835,0.12056,8.08499,t5
plot+table,on,on,on,0.03907,0.185923,0.414023,0.102007,0.173623,32.876953,bart
plot+table,on,on,on,0.015838,0.258364,0.39684,0.07814,0.126394,-3.286902,bert
plot+table,on,on,on,0.01686,0.205268,0.426275,0.071379,0.13557,12.461538,longformer_ext
plot+table,on,on,on,0.016489,0.152823,0.365766,0.081227,0.156757,16.108235,t5
plot,off,off,off,0.030256,0.225726,0.468227,0.127374,0.205128,16.052102,bart
plot,off,off,off,0.00842,0.288649,0.400675,0.08338,0.127181,5.428309,bert
plot,off,off,off,0.010636,0.137383,0.296221,0.06346,0.124617,21.638759,longformer_ext
plot,off,off,off,0.029366,0.19646,0.451462,0.100821,0.180117,20.683144,t5
plot,off,off,off,0.010251,0.141172,0.392116,0.081081,0.145228,25.127353,bart
plot,off,off,off,0.024356,0.271611,0.512658,0.129278,0.172152,14.23676,bert
plot,off,off,off,0.007235,0.133143,0.364211,0.067511,0.147368,25.865531,longformer_ext
plot,off,off,off,0.004437,0.131789,0.388596,0.065608,0.133052,17.258299,t5
plot,off,off,off,0.021752,0.15,0.413103,0.122151,0.189263,28.79119,bart
plot,off,off,off,0.03292,0.295177,0.541972,0.153412,0.188169,9.520107,bert
plot,off,off,off,0.018685,0.175679,0.405583,0.097039,0.180624,28.962263,longformer_ext
plot,off,off,off,0.003543,0.104975,0.317429,0.074146,0.149951,29.019589,t5
table,off,off,off,0.026656,0.228248,0.45323,0.094686,0.162006,3.05489,bart
table,off,off,off,0.007999,0.261861,0.326791,0.063042,0.103149,1.557616,bert
table,off,off,off,0.016483,0.201676,0.418562,0.065634,0.132848,-1.912254,longformer_ext
table,off,off,off,0.033605,0.207555,0.412698,0.083499,0.156746,10.626831,t5
table,off,off,off,0.010292,0.147333,0.382845,0.098532,0.142259,17.530092,bart
table,off,off,off,0.024232,0.249104,0.488862,0.104882,0.167369,7.301818,bert
table,off,off,off,0.016677,0.180804,0.42963,0.100186,0.140741,12.763694,longformer_ext
table,off,off,off,0.003568,0.128851,0.359029,0.055026,0.124604,18.377553,t5
table,off,off,off,0.031234,0.171034,0.421889,0.132626,0.187114,21.107385,bart
table,off,off,off,0.027024,0.283509,0.43871,0.102335,0.163772,-7.510536,bert
table,off,off,off,0.016822,0.181728,0.370532,0.07889,0.140044,11.720595,longformer_ext
table,off,off,off,0.002863,0.118442,0.293948,0.059673,0.119116,14.331794,t5
plot+table,off,off,off,0.028262,0.201312,0.464171,0.087889,0.190374,25.634548,bart
plot+table,off,off,off,0.014593,0.282319,0.387265,0.079415,0.123173,0.244855,bert
plot+table,off,off,off,0.013174,0.154278,0.342,0.056112,0.126,37.490518,longformer_ext
plot+table,off,off,off,0.025903,0.179772,0.430913,0.077465,0.168618,21.695308,t5
plot+table,off,off,off,0.011963,0.164656,0.400822,0.07621,0.152107,23.1575,bart
